Rank,company,revenue,employee,URL
1,Walmart,"$514,405.00 ","2,200,000",https://www.indeed.com/cmp/Walmart
2,Exxon Mobil,"$290,212.00 ","71,000",https://www.indeed.com/cmp/Exxonmobil
3,Apple,"$265,595.00 ","132,000",https://www.indeed.com/cmp/Apple
4,Berkshire Hathaway,"$247,837.00 ","389,000",https://www.indeed.com/cmp/Berkshire-Hathaway-Home-Services
5,Amazon.com,"$232,887.00 ","647,500",https://www.indeed.com/cmp/Amazon.com
6,UnitedHealth Group,"$226,247.00 ","300,000",https://www.indeed.com/cmp/UnitedHealth-Group
7,McKesson,"$208,357.00 ","68,000",https://www.indeed.com/cmp/Mckesson
8,CVS Health,"$194,579.00 ","295,000",https://www.indeed.com/cmp/CVS-Health
9,AT&T,"$170,756.00 ","268,220",https://www.indeed.com/cmp/AT&T
10,AmerisourceBergen,"$167,939.60 ","20,500",https://www.indeed.com/cmp/Amerisourcebergen
11,Chevron,"$166,339.00 ","48,600",https://www.indeed.com/cmp/Chevron
12,Ford Motor,"$160,338.00 ","199,000",https://www.indeed.com/cmp/Ford-Motor-Company
13,General Motors,"$147,049.00 ","173,000",https://www.indeed.com/cmp/General-Motors
14,Costco Wholesale,"$141,576.00 ","194,000",https://www.indeed.com/cmp/Costco-Wholesale
15,Alphabet,"$136,819.00 ","98,771",https://www.indeed.com/cmp/Google
16,Cardinal Health,"$136,809.00 ","50,200",https://www.indeed.com/cmp/Cardinal-Health
17,Walgreens Boots Alliance,"$131,537.00 ","299,000",https://www.indeed.com/cmp/Walgreens
18,JPMorgan Chase,"$131,412.00 ","256,105",https://www.indeed.com/cmp/JPMorgan-Chase
19,Verizon Communications,"$130,863.00 ","144,500",https://www.indeed.com/cmp/Verizon
20,Kroger,"$121,162.00 ","453,000",https://www.indeed.com/cmp/Kroger-Stores
21,General Electric,"$120,268.00 ","283,000",https://www.indeed.com/cmp/GE-Corporate
22,Fannie Mae,"$120,101.00 ","7,400",https://www.indeed.com/cmp/Fannie-Mae
23,Phillips 66,"$114,217.00 ","14,200",https://www.indeed.com/cmp/Phillips-66
24,Valero Energy,"$111,407.00 ","10,261",https://www.indeed.com/cmp/Valero
25,Bank of America,"$110,584.00 ","204,489",https://www.indeed.com/cmp/Bank-of-America
26,Microsoft,"$110,360.00 ","131,000",https://www.indeed.com/cmp/Microsoft
27,Home Depot,"$108,203.00 ","413,000",https://www.indeed.com/cmp/The-Home-Depot
28,Boeing,"$101,127.00 ","153,000",https://www.indeed.com/cmp/Boeing
29,Wells Fargo,"$101,060.00 ","258,700",https://www.indeed.com/cmp/Wells-Fargo
30,Citigroup,"$97,120.00 ","204,000",https://www.indeed.com/cmp/Citi
31,Marathon Petroleum,"$97,102.00 ","60,350",https://www.indeed.com/cmp/Marathon-Oil
32,Comcast,"$94,507.00 ","184,000",https://www.indeed.com/cmp/Comcast
33,Anthem,"$92,105.00 ","63,900","https://www.indeed.com/cmp/Anthem,-Inc."
34,Dell Technologies,"$90,621.00 ","157,000",https://www.indeed.com/cmp/Dell-Technologies
35,DuPont de Nemours,"$85,977.00 ","98,000",https://www.indeed.com/cmp/Dupont
36,State Farm Insurance,"$81,732.20 ","56,788",https://www.indeed.com/cmp/State-Farm-Mutual-Automobile-Insurance-Company
37,Johnson & Johnson,"$81,581.00 ","135,100",https://www.indeed.com/cmp/Johnson-&-Johnson
38,IBM,"$79,591.00 ","381,100",https://www.indeed.com/cmp/IBM
39,Target,"$75,356.00 ","360,000",https://www.indeed.com/cmp/Target
40,Freddie Mac,"$73,598.00 ","6,621",https://www.indeed.com/cmp/Freddie-Mac
41,United Parcel Service,"$71,861.00 ","364,575",https://www.indeed.com/cmp/UPS
42,Lowe's,"$71,309.00 ","245,000",https://www.indeed.com/cmp/Lowe's
43,Intel,"$70,848.00 ","107,400",https://www.indeed.com/cmp/Intel
44,MetLife,"$67,941.00 ","48,000",https://www.indeed.com/cmp/MetLife
45,Procter & Gamble,"$66,832.00 ","92,000",https://www.indeed.com/cmp/Procter-&-Gamble
46,United Technologies,"$66,501.00 ","240,200",https://www.indeed.com/cmp/United-Technologies-Corporation
47,FedEx,"$65,450.00 ","359,000",https://www.indeed.com/cmp/FedEx
48,PepsiCo,"$64,661.00 ","267,000",https://www.indeed.com/cmp/PepsiCo
49,Archer Daniels Midland,"$64,341.00 ","31,600",https://www.indeed.com/cmp/Archer-Daniels-Midland
50,Prudential Financial,"$62,992.00 ","50,492",https://www.indeed.com/cmp/Prudential
51,Centene,"$60,116.00 ","47,300",https://www.indeed.com/cmp/Centene
52,Albertsons,"$59,924.60 ","275,000",https://www.indeed.com/cmp/Albertsons
53,Walt Disney,"$59,434.00 ","201,000",https://www.indeed.com/cmp/The-Walt-Disney-Company
54,Sysco,"$58,727.30 ","67,000",https://www.indeed.com/cmp/Sysco
55,HP,"$58,472.00 ","55,000",https://www.indeed.com/cmp/HP
56,Humana,"$56,912.00 ","41,600",https://www.indeed.com/cmp/Humana
57,Facebook,"$55,838.00 ","35,587",https://www.indeed.com/cmp/Facebook
58,Caterpillar,"$54,722.00 ","104,000",https://www.indeed.com/cmp/Caterpillar
59,Energy Transfer,"$54,436.00 ","11,768",https://www.indeed.com/cmp/Energy-Transfer
60,Lockheed Martin,"$53,762.00 ","105,000",https://www.indeed.com/cmp/Lockheed-Martin
61,Pfizer,"$53,647.00 ","92,400",https://www.indeed.com/cmp/Pfizer-Inc.
62,Goldman Sachs Group,"$52,528.00 ","36,600",https://www.indeed.com/cmp/Goldman-Sachs
